key,signal,universe_pct,holdings,aum_krw,cost_multiplier,months,net_cagr,mdd,t_stat,p_value,mean_fill,robust
reversal_1m|p0.2|n10|a100000000|c0.5,reversal_1m,0.2,10,100000000.0,0.5,310,-0.28453104846003774,-0.9997848464611662,-1.9559115050609022,0.05047557978982242,1.0,False
reversal_1m|p0.2|n10|a100000000|c1.0,reversal_1m,0.2,10,100000000.0,1.0,310,-0.2854251757337647,-0.9997916210431317,-1.9677425249761478,0.04909767023971012,1.0,False
reversal_1m|p0.2|n10|a100000000|c1.5,reversal_1m,0.2,10,100000000.0,1.5,310,-0.28631828705138507,-0.9997981830484971,-1.9795736983721273,0.04775145083342336,1.0,False
reversal_1m|p0.2|n10|a100000000|c2.0,reversal_1m,0.2,10,100000000.0,2.0,310,-0.2872103834537446,-0.9998045391245215,-1.9914050239956351,0.04643637736512796,1.0,False
reversal_1m|p0.2|n10|a1000000000|c0.5,reversal_1m,0.2,10,1000000000.0,0.5,310,-0.2864631233264363,-0.999799228322966,-1.9814936478968237,0.047535941017836425,1.0,False
reversal_1m|p0.2|n10|a1000000000|c1.0,reversal_1m,0.2,10,1000000000.0,1.0,310,-0.2892801949928865,-0.9998185539550043,-2.018908176154755,0.04349676427156601,1.0,False
reversal_1m|p0.2|n10|a1000000000|c1.5,reversal_1m,0.2,10,1000000000.0,1.5,310,-0.29208715203473967,-0.9998360253506149,-2.0563241850149447,0.039751278624622355,1.0,False
reversal_1m|p0.2|n10|a1000000000|c2.0,reversal_1m,0.2,10,1000000000.0,2.0,310,-0.29488402720405826,-0.9998518198437429,-2.093741634827354,0.036283001901559864,1.0,False
reversal_1m|p0.2|n10|a10000000000|c0.5,reversal_1m,0.2,10,10000000000.0,0.5,310,-0.2595516894856589,-0.9994737581309882,-2.290735569711774,0.02197871206857105,0.819230422724735,False
reversal_1m|p0.2|n10|a10000000000|c1.0,reversal_1m,0.2,10,10000000000.0,1.0,310,-0.26508817051459677,-0.9995653657174475,-2.373655282880221,0.01761298533641864,0.819230422724735,False
reversal_1m|p0.2|n10|a10000000000|c1.5,reversal_1m,0.2,10,10000000000.0,1.5,310,-0.270586852908443,-0.9996410714813265,-2.4565643949732285,0.01402726597896864,0.819230422724735,False
reversal_1m|p0.2|n10|a10000000000|c2.0,reversal_1m,0.2,10,10000000000.0,2.0,310,-0.2760479703343095,-0.9997036279214375,-2.5394627218222534,0.011102287627096974,0.819230422724735,False
reversal_1m|p0.2|n20|a100000000|c0.5,reversal_1m,0.2,20,100000000.0,0.5,310,-0.2236368657536768,-0.9984662846218201,-1.8948079228625885,0.0581178531835469,1.0,False
reversal_1m|p0.2|n20|a100000000|c1.0,reversal_1m,0.2,20,100000000.0,1.0,310,-0.22434462501365238,-0.998499247799046,-1.9052867274547278,0.05674280980695556,1.0,False
reversal_1m|p0.2|n20|a100000000|c1.5,reversal_1m,0.2,20,100000000.0,1.5,310,-0.22505179667139374,-0.9985315050814233,-1.915765723214611,0.055394922520571876,1.0,False
reversal_1m|p0.2|n20|a100000000|c2.0,reversal_1m,0.2,20,100000000.0,2.0,310,-0.22575838116749103,-0.9985630715305955,-1.9262449094471576,0.054073800659606874,1.0,False
reversal_1m|p0.2|n20|a1000000000|c0.5,reversal_1m,0.2,20,1000000000.0,0.5,310,-0.22516649944897338,-0.9985366741760786,-1.9174662481084308,0.0551787249226523,1.0,False
reversal_1m|p0.2|n20|a1000000000|c1.0,reversal_1m,0.2,20,1000000000.0,1.0,310,-0.2273986095434133,-0.9986338616036595,-1.9506050896816294,0.05110404129575885,1.0,False
reversal_1m|p0.2|n20|a1000000000|c1.5,reversal_1m,0.2,20,1000000000.0,1.5,310,-0.22962486264565685,-0.9987246165524087,-1.9837458128663956,0.04728418359644415,1.0,False
reversal_1m|p0.2|n20|a1000000000|c2.0,reversal_1m,0.2,20,1000000000.0,2.0,310,-0.2318452726379825,-0.9988093632906471,-2.0168883956679413,0.04370716133800201,1.0,False
reversal_1m|p0.2|n20|a10000000000|c0.5,reversal_1m,0.2,20,10000000000.0,0.5,310,-0.22420093893062876,-0.998506545634539,-2.1203730321181933,0.03397459910750644,0.9393566843940675,False
reversal_1m|p0.2|n20|a10000000000|c1.0,reversal_1m,0.2,20,10000000000.0,1.0,310,-0.230127788026795,-0.9987598569806816,-2.2133619814689474,0.026872699570130276,0.9393566843940675,False
reversal_1m|p0.2|n20|a10000000000|c1.5,reversal_1m,0.2,20,10000000000.0,1.5,310,-0.23601325379466942,-0.9989711362578833,-2.306356474029584,0.021090721959124092,0.9393566843940675,False
reversal_1m|p0.2|n20|a10000000000|c2.0,reversal_1m,0.2,20,10000000000.0,2.0,310,-0.24185759812611962,-0.9991465259485226,-2.3993562762394167,0.016423925912832482,0.9393566843940675,False
reversal_1m|p0.2|n30|a100000000|c0.5,reversal_1m,0.2,30,100000000.0,0.5,310,-0.16681662586423085,-0.9921991822572767,-1.2207743467642458,0.22217146927510534,0.9999999999999998,False
reversal_1m|p0.2|n30|a100000000|c1.0,reversal_1m,0.2,30,100000000.0,1.0,310,-0.16745130651618545,-0.9923382091470735,-1.2299367949634123,0.21872077421432246,0.9999999999999998,False
reversal_1m|p0.2|n30|a100000000|c1.5,reversal_1m,0.2,30,100000000.0,1.5,310,-0.16808554653626306,-0.9924747673377703,-1.239099463072821,0.2153086658475014,0.9999999999999998,False
reversal_1m|p0.2|n30|a100000000|c2.0,reversal_1m,0.2,30,100000000.0,2.0,310,-0.1687193462009544,-0.9926089005053614,-1.248262350676045,0.2119349970016957,0.9999999999999998,False
