signal,universe_pct,holdings,aum_krw,cost_multiplier,participation,months,net_cagr,mdd,t_stat,p_value,mean_fill,robust
reversal_1m,0.2,10,100000000.0,0.5,0.025,310,-0.26272374776254803,-0.999561655404959,-1.612353759880841,0.10688498095074639,1.0,False
reversal_1m,0.2,10,100000000.0,1.0,0.025,310,-0.2636427188051752,-0.9995747140768816,-1.6240173469591082,0.10437210636242544,1.0,False
reversal_1m,0.2,10,100000000.0,1.5,0.025,310,-0.2645606484937878,-0.9995873851200793,-1.635681137771245,0.10190633915154335,1.0,False
reversal_1m,0.2,10,100000000.0,2.0,0.025,310,-0.2654775378923019,-0.9995996799992173,-1.6473451311155107,0.09948712641297797,1.0,False
reversal_1m,0.2,10,100000000.0,0.5,0.05,310,-0.26272374776254803,-0.999561655404959,-1.612353759880841,0.10688498095074639,1.0,False
reversal_1m,0.2,10,100000000.0,1.0,0.05,310,-0.2636427188051752,-0.9995747140768816,-1.6240173469591082,0.10437210636242544,1.0,False
reversal_1m,0.2,10,100000000.0,1.5,0.05,310,-0.2645606484937878,-0.9995873851200793,-1.635681137771245,0.10190633915154335,1.0,False
reversal_1m,0.2,10,100000000.0,2.0,0.05,310,-0.2654775378923019,-0.9995996799992173,-1.6473451311155107,0.09948712641297797,1.0,False
reversal_1m,0.2,10,100000000.0,0.5,0.1,310,-0.26272374776254803,-0.999561655404959,-1.612353759880841,0.10688498095074639,1.0,False
reversal_1m,0.2,10,100000000.0,1.0,0.1,310,-0.2636427188051752,-0.9995747140768816,-1.6240173469591082,0.10437210636242544,1.0,False
reversal_1m,0.2,10,100000000.0,1.5,0.1,310,-0.2645606484937878,-0.9995873851200793,-1.635681137771245,0.10190633915154335,1.0,False
reversal_1m,0.2,10,100000000.0,2.0,0.1,310,-0.2654775378923019,-0.9995996799992173,-1.6473451311155107,0.09948712641297797,1.0,False
reversal_1m,0.2,10,1000000000.0,0.5,0.025,310,-0.2645523619089054,-0.9995871281862292,-1.6359442452120645,0.10185125679040641,0.9993405279454609,False
reversal_1m,0.2,10,1000000000.0,1.0,0.025,310,-0.2674409886449267,-0.9996247038099214,-1.6727388273737827,0.09437872205509912,0.9993405279454609,False
reversal_1m,0.2,10,1000000000.0,1.5,0.025,310,-0.270319296893898,-0.9996588711759512,-1.7095354033368086,0.08735181959072502,0.9993405279454609,False
reversal_1m,0.2,10,1000000000.0,2.0,0.025,310,-0.27318731989947587,-0.999689938382231,-1.7463339361250327,0.08075294222014184,0.9993405279454609,False
reversal_1m,0.2,10,1000000000.0,0.5,0.05,310,-0.26470950984241015,-0.9995894055758012,-1.6375739295845457,0.10151060516911992,1.0,False
reversal_1m,0.2,10,1000000000.0,1.0,0.05,310,-0.2676048842011214,-0.9996268679806251,-1.6744595048009656,0.09404032662255113,1.0,False
reversal_1m,0.2,10,1000000000.0,1.5,0.05,310,-0.27048989095236287,-0.9996609238588641,-1.711347065374786,0.08701706280394195,1.0,False
reversal_1m,0.2,10,1000000000.0,2.0,0.05,310,-0.27336456357458805,-0.9996918819244949,-1.7482365732793843,0.08042307102676949,1.0,False
reversal_1m,0.2,10,1000000000.0,0.5,0.1,310,-0.26470950984241015,-0.9995894055758012,-1.6375739295845457,0.10151060516911992,1.0,False
reversal_1m,0.2,10,1000000000.0,1.0,0.1,310,-0.2676048842011214,-0.9996268679806251,-1.6744595048009656,0.09404032662255113,1.0,False
reversal_1m,0.2,10,1000000000.0,1.5,0.1,310,-0.27048989095236287,-0.9996609238588641,-1.711347065374786,0.08701706280394195,1.0,False
reversal_1m,0.2,10,1000000000.0,2.0,0.1,310,-0.27336456357458805,-0.9996918819244949,-1.7482365732793843,0.08042307102676949,1.0,False
reversal_1m,0.2,10,10000000000.0,0.5,0.025,310,-0.21190191947228176,-0.9974805296849028,-2.2899893076077595,0.02202193648713191,0.6523623966338207,False
reversal_1m,0.2,10,10000000000.0,1.0,0.025,310,-0.21547705955470475,-0.9977495940025193,-2.350300304546926,0.018758270120923903,0.6523623966338207,False
reversal_1m,0.2,10,10000000000.0,1.5,0.025,310,-0.21903741187768822,-0.9979900155671236,-2.4106067137182055,0.015926011512640503,0.6523623966338207,False
reversal_1m,0.2,10,10000000000.0,2.0,0.025,310,-0.22258303174949878,-0.9982048337251054,-2.4709084307704345,0.013477032295906799,0.6523623966338207,False
reversal_1m,0.2,10,10000000000.0,0.5,0.05,310,-0.2424675152164839,-0.9990664251105404,-2.007659349084562,0.044679503175198754,0.8195926866573525,False
reversal_1m,0.2,10,10000000000.0,1.0,0.05,310,-0.2481287511932594,-0.9992229002427543,-2.0901289249809105,0.03660621999118474,0.8195926866573525,False
reversal_1m,0.2,10,10000000000.0,1.5,0.05,310,-0.2537513604884355,-0.999353226757907,-2.1725892081790024,0.02981124884544739,0.8195926866573525,False
reversal_1m,0.2,10,10000000000.0,2.0,0.05,310,-0.25933558171794313,-0.9994641060148995,-2.255040010962664,0.02413081747225343,0.8195926866573525,False
reversal_1m,0.2,10,10000000000.0,0.5,0.1,310,-0.2639056478024352,-0.9995751216943874,-1.8159087366844346,0.06938437290192168,0.9448000540523411,False
reversal_1m,0.2,10,10000000000.0,1.0,0.1,310,-0.27166481262877773,-0.9996716645931711,-1.919399472591653,0.05493379764283368,0.9448000540523411,False
reversal_1m,0.2,10,10000000000.0,1.5,0.1,310,-0.27934931936740504,-0.9997463312082042,-2.022891228895841,0.04308436305306329,0.9448000540523411,False
reversal_1m,0.2,10,10000000000.0,2.0,0.1,310,-0.28695981824203143,-0.9998040648649967,-2.1263835686339654,0.03347133478721087,0.9448000540523411,False
reversal_1m,0.2,20,100000000.0,0.5,0.025,310,-0.20273035896324965,-0.9970439217465858,-1.5503558063305374,0.12105613962627304,1.0,False
reversal_1m,0.2,20,100000000.0,1.0,0.025,310,-0.20345796030943564,-0.997107526737102,-1.560768082158717,0.1185784808862782,1.0,False
reversal_1m,0.2,20,100000000.0,1.5,0.025,310,-0.20418495684242133,-0.9971697681001608,-1.5711805812153332,0.11614070934044718,1.0,False
reversal_1m,0.2,20,100000000.0,2.0,0.025,310,-0.20491134901632935,-0.9972306749646787,-1.5815933028400349,0.11374244387744237,1.0,False
reversal_1m,0.2,20,100000000.0,0.5,0.05,310,-0.20273035896324965,-0.9970439217465858,-1.5503558063305374,0.12105613962627304,1.0,False
reversal_1m,0.2,20,100000000.0,1.0,0.05,310,-0.20345796030943564,-0.997107526737102,-1.560768082158717,0.1185784808862782,1.0,False
reversal_1m,0.2,20,100000000.0,1.5,0.05,310,-0.20418495684242133,-0.9971697681001608,-1.5711805812153332,0.11614070934044718,1.0,False
reversal_1m,0.2,20,100000000.0,2.0,0.05,310,-0.20491134901632935,-0.9972306749646787,-1.5815933028400349,0.11374244387744237,1.0,False
reversal_1m,0.2,20,100000000.0,0.5,0.1,310,-0.20273035896324965,-0.9970439217465858,-1.5503558063305374,0.12105613962627304,1.0,False
reversal_1m,0.2,20,100000000.0,1.0,0.1,310,-0.20345796030943564,-0.997107526737102,-1.560768082158717,0.1185784808862782,1.0,False
reversal_1m,0.2,20,100000000.0,1.5,0.1,310,-0.20418495684242133,-0.9971697681001608,-1.5711805812153332,0.11614070934044718,1.0,False
reversal_1m,0.2,20,100000000.0,2.0,0.1,310,-0.20491134901632935,-0.9972306749646787,-1.5815933028400349,0.11374244387744237,1.0,False
reversal_1m,0.2,20,1000000000.0,0.5,0.025,310,-0.20430287513219403,-0.9971797418737179,-1.5728703182056105,0.11574884920301143,1.0,False
reversal_1m,0.2,20,1000000000.0,1.0,0.025,310,-0.2065975550585396,-0.997367257443227,-1.605799106628636,0.10831805701187891,1.0,False
reversal_1m,0.2,20,1000000000.0,1.5,0.025,310,-0.20888620646746914,-0.9975423482637815,-1.638730098771463,0.10126948266400149,1.0,False
reversal_1m,0.2,20,1000000000.0,2.0,0.025,310,-0.21116884366754918,-0.9977058347520416,-1.6716632737363146,0.09459074009751456,1.0,False
reversal_1m,0.2,20,1000000000.0,0.5,0.05,310,-0.20430287513219403,-0.9971797418737179,-1.5728703182056105,0.11574884920301143,1.0,False
reversal_1m,0.2,20,1000000000.0,1.0,0.05,310,-0.2065975550585396,-0.997367257443227,-1.605799106628636,0.10831805701187891,1.0,False
reversal_1m,0.2,20,1000000000.0,1.5,0.05,310,-0.20888620646746914,-0.9975423482637815,-1.638730098771463,0.10126948266400149,1.0,False
reversal_1m,0.2,20,1000000000.0,2.0,0.05,310,-0.21116884366754918,-0.9977058347520416,-1.6716632737363146,0.09459074009751456,1.0,False
reversal_1m,0.2,20,1000000000.0,0.5,0.1,310,-0.20430287513219403,-0.9971797418737179,-1.5728703182056105,0.11574884920301143,1.0,False
reversal_1m,0.2,20,1000000000.0,1.0,0.1,310,-0.2065975550585396,-0.997367257443227,-1.605799106628636,0.10831805701187891,1.0,False
reversal_1m,0.2,20,1000000000.0,1.5,0.1,310,-0.20888620646746914,-0.9975423482637815,-1.638730098771463,0.10126948266400149,1.0,False
reversal_1m,0.2,20,1000000000.0,2.0,0.1,310,-0.21116884366754918,-0.9977058347520416,-1.6716632737363146,0.09459074009751456,1.0,False
reversal_1m,0.2,20,10000000000.0,0.5,0.025,310,-0.19039838713661816,-0.9955098538562482,-2.054854139626644,0.03989309514205863,0.8030720070794367,False
reversal_1m,0.2,20,10000000000.0,1.0,0.025,310,-0.19470381604010312,-0.9960593250259933,-2.1283092200061122,0.03331145416653092,0.8030720070794367,False
reversal_1m,0.2,20,10000000000.0,1.5,0.025,310,-0.19898831066723277,-0.9965417631515058,-2.201760617447272,0.027682222324169725,0.8030720070794367,False
reversal_1m,0.2,20,10000000000.0,2.0,0.025,310,-0.2032519633142732,-0.9969653206711873,-2.2752082432929397,0.02289344060630727,0.8030720070794367,False
reversal_1m,0.2,20,10000000000.0,0.5,0.05,310,-0.20506403416244212,-0.9972544475905508,-1.7936922138666525,0.07286230876023136,0.9392407143825868,False
reversal_1m,0.2,20,10000000000.0,1.0,0.05,310,-0.21114560878672406,-0.9977207721466118,-1.886357926521969,0.05924673818008941,0.9392407143825868,False
reversal_1m,0.2,20,10000000000.0,1.5,0.05,310,-0.21718465630086492,-0.9981096077987713,-1.979030948852263,0.047812521872595104,0.9392407143825868,False
reversal_1m,0.2,20,10000000000.0,2.0,0.05,310,-0.22318144626194159,-0.998432302180356,-2.071711057101832,0.038292395555686864,0.9392407143825868,False
reversal_1m,0.2,20,10000000000.0,0.5,0.1,310,-0.20908806213154174,-0.997552286895767,-1.6490415884686944,0.09913911487882099,0.996051504920928,False
reversal_1m,0.2,20,10000000000.0,1.0,0.1,310,-0.2161900076097133,-0.9980255779043323,-1.7519715978698003,0.07977869182684194,0.996051504920928,False
reversal_1m,0.2,20,10000000000.0,1.5,0.1,310,-0.22323380058075215,-0.9984076233276311,-1.8549195621452614,0.06360771403311127,0.996051504920928,False
