test,date,bucket,mean_return,n
price_level_vs_future_1m,1999-12-28 00:00:00,1,0.021383093184223087,208
price_level_vs_future_1m,1999-12-28 00:00:00,2,-0.05751254662324853,207
price_level_vs_future_1m,1999-12-28 00:00:00,3,-0.032074582654433734,207
price_level_vs_future_1m,1999-12-28 00:00:00,4,-0.0509561589627933,207
price_level_vs_future_1m,1999-12-28 00:00:00,5,-0.05780351262924843,208
price_level_vs_future_1m,2000-01-31 00:00:00,1,0.239989245166078,215
price_level_vs_future_1m,2000-01-31 00:00:00,2,0.4058266043068302,215
price_level_vs_future_1m,2000-01-31 00:00:00,3,0.2804898152853341,215
price_level_vs_future_1m,2000-01-31 00:00:00,4,0.2481521369272438,215
price_level_vs_future_1m,2000-01-31 00:00:00,5,0.4206402424761538,215
price_level_vs_future_1m,2000-02-29 00:00:00,1,0.49110047911899374,216
price_level_vs_future_1m,2000-02-29 00:00:00,2,0.15442812074787732,216
price_level_vs_future_1m,2000-02-29 00:00:00,3,0.10204748941302376,215
price_level_vs_future_1m,2000-02-29 00:00:00,4,0.1763712833249901,216
price_level_vs_future_1m,2000-02-29 00:00:00,5,0.10116031147086817,216
price_level_vs_future_1m,2000-03-31 00:00:00,1,-0.07872096454382918,218
price_level_vs_future_1m,2000-03-31 00:00:00,2,-0.12883321356912464,217
price_level_vs_future_1m,2000-03-31 00:00:00,3,-0.18155532577109357,218
price_level_vs_future_1m,2000-03-31 00:00:00,4,-0.15528189526029934,217
price_level_vs_future_1m,2000-03-31 00:00:00,5,-0.19439063430807588,218
price_level_vs_future_1m,2000-04-28 00:00:00,1,-0.07755360054087806,219
price_level_vs_future_1m,2000-04-28 00:00:00,2,-0.06561116118047462,219
price_level_vs_future_1m,2000-04-28 00:00:00,3,-0.0794791283823148,218
price_level_vs_future_1m,2000-04-28 00:00:00,4,-0.09371012863444556,219
price_level_vs_future_1m,2000-04-28 00:00:00,5,-0.12034721307902307,219
price_level_vs_future_1m,2000-05-31 00:00:00,1,0.051474239853664616,218
price_level_vs_future_1m,2000-05-31 00:00:00,2,0.06827850620209344,218
price_level_vs_future_1m,2000-05-31 00:00:00,3,0.049032329831430424,218
price_level_vs_future_1m,2000-05-31 00:00:00,4,0.04966774196760719,218
price_level_vs_future_1m,2000-05-31 00:00:00,5,0.006884962196007594,218
price_level_vs_future_1m,2000-06-30 00:00:00,1,0.03648606887944997,223
price_level_vs_future_1m,2000-06-30 00:00:00,2,-0.028687043794755642,222
price_level_vs_future_1m,2000-06-30 00:00:00,3,-0.07472661370937862,222
price_level_vs_future_1m,2000-06-30 00:00:00,4,-0.10473348827289772,222
price_level_vs_future_1m,2000-06-30 00:00:00,5,-0.10312607379309777,222
price_level_vs_future_1m,2000-07-31 00:00:00,1,0.2201660152458852,229
price_level_vs_future_1m,2000-07-31 00:00:00,2,0.08326357583738034,229
price_level_vs_future_1m,2000-07-31 00:00:00,3,0.08516460651245919,228
price_level_vs_future_1m,2000-07-31 00:00:00,4,0.11442729542978411,229
price_level_vs_future_1m,2000-07-31 00:00:00,5,0.05298787849171128,229
price_level_vs_future_1m,2000-08-31 00:00:00,1,-0.04513099848389195,235
