test_year,selected_key,train_months,train_t,test_months,test_cagr
2008,small_cap|p0.9|n50|a100000000|c0.5,89,3.8737179366898036,12,-0.2394890564039801
2009,small_cap|p0.9|n50|a100000000|c0.5,101,3.531297942082599,12,0.32512882681117494
2010,small_cap|p0.9|n50|a100000000|c0.5,113,3.621053228287218,12,-0.1535920669011419
2011,small_cap|p0.9|n50|a100000000|c0.5,125,3.458003062321735,12,0.2126452487093229
2012,small_cap|p0.9|n50|a100000000|c0.5,137,3.539189520239668,12,0.48222185799788675
2013,small_cap|p0.9|n50|a100000000|c0.5,149,3.7619990430054218,12,0.034889920455889456
2014,small_cap|p0.9|n50|a100000000|c0.5,161,3.7566545373552263,12,0.5169236483892075
2015,small_cap|p0.9|n50|a100000000|c0.5,173,4.0123483510370175,12,2.274726746404817
2016,small_cap|p0.9|n50|a100000000|c0.5,185,4.705970369451268,12,1.0858999006305607
2017,small_cap|p0.9|n50|a100000000|c0.5,197,5.149497741358121,12,0.11207094818212249
2018,small_cap|p0.9|n50|a100000000|c0.5,209,5.156805919600528,12,0.2836071985615827
2019,small_cap|p0.9|n50|a100000000|c0.5,221,5.2522397946295065,12,0.4562956021744855
2020,small_cap|p0.9|n50|a100000000|c0.5,233,5.437723827449754,12,0.5390880743364532
2021,small_cap|p0.9|n50|a100000000|c0.5,245,5.631644621482704,12,0.170570125735231
2022,small_cap|p0.9|n50|a100000000|c0.5,257,5.67445459866889,12,0.3134180370560371
2023,small_cap|p0.9|n50|a100000000|c0.5,269,5.78603570873066,12,0.1179207115972356
2024,small_cap|p0.9|n50|a100000000|c0.5,281,5.819725068969783,12,0.20816349349618535
2025,small_cap|p0.9|n50|a100000000|c0.5,293,5.894272513443959,12,0.3808952257295164
2026,small_cap|p0.9|n50|a100000000|c0.5,305,6.063559220768052,4,0.14538048918919477
