key,signal,universe_pct,holdings,aum_krw,cost_multiplier,months,net_cagr,mdd,t_stat,p_value,mean_fill,robust
reversal_1m|p0.2|n10|a100000000|c0.5,reversal_1m,0.2,10,100000000.0,0.5,310,-0.28730187690776876,-0.9998053677695716,-1.979888799346946,0.047716025262813044,1.0,False
reversal_1m|p0.2|n10|a100000000|c1.0,reversal_1m,0.2,10,100000000.0,1.0,310,-0.2881908700400819,-0.9998114847580782,-1.9916605776437808,0.04640831190711925,1.0,False
reversal_1m|p0.2|n10|a100000000|c1.5,reversal_1m,0.2,10,100000000.0,1.5,310,-0.28907885493161445,-0.9998174101624145,-2.003432508149817,0.045130885104200935,1.0,False
reversal_1m|p0.2|n10|a100000000|c2.0,reversal_1m,0.2,10,100000000.0,2.0,310,-0.28996583261339903,-0.9998231499622323,-2.01520458963491,0.043883216837781625,1.0,False
reversal_1m|p0.2|n10|a1000000000|c0.5,reversal_1m,0.2,10,1000000000.0,0.5,310,-0.2892228600291684,-0.9998183540647838,-2.0053428437586054,0.044926407522312806,1.0,False
reversal_1m|p0.2|n10|a1000000000|c1.0,reversal_1m,0.2,10,1000000000.0,1.0,310,-0.2920237751233461,-0.9998358071977115,-2.042570020821204,0.0410950213339778,1.0,False
reversal_1m|p0.2|n10|a1000000000|c1.5,reversal_1m,0.2,10,1000000000.0,1.5,310,-0.29481465232264126,-0.9998515887737448,-2.0797986667683044,0.03754400345436215,1.0,False
reversal_1m|p0.2|n10|a1000000000|c2.0,reversal_1m,0.2,10,1000000000.0,2.0,310,-0.2975955240706075,-0.9998658583676463,-2.117028742679605,0.03425740847940584,1.0,False
reversal_1m|p0.2|n10|a10000000000|c0.5,reversal_1m,0.2,10,10000000000.0,0.5,310,-0.2599226735037662,-0.9994805271677575,-2.2867462276108657,0.02221063975266091,0.820404176427881,False
reversal_1m|p0.2|n10|a10000000000|c1.0,reversal_1m,0.2,10,10000000000.0,1.0,310,-0.26546354985778764,-0.9995710645726033,-2.3695982722733797,0.017807422046202115,0.820404176427881,False
reversal_1m|p0.2|n10|a10000000000|c1.5,reversal_1m,0.2,10,10000000000.0,1.5,310,-0.27096654824029454,-0.9996458671102184,-2.452439860821467,0.014189109543953693,0.820404176427881,False
reversal_1m|p0.2|n10|a10000000000|c2.0,reversal_1m,0.2,10,10000000000.0,2.0,310,-0.2764319031158218,-0.9997076616435854,-2.535270810119838,0.011236042623179232,0.820404176427881,False
reversal_1m|p0.2|n20|a100000000|c0.5,reversal_1m,0.2,20,100000000.0,0.5,310,-0.22491892067860408,-0.9985366123436487,-1.9106610022914114,0.05604815946062236,1.0,False
reversal_1m|p0.2|n20|a100000000|c1.0,reversal_1m,0.2,20,100000000.0,1.0,310,-0.22562465149457134,-0.9985680213997808,-1.9211191475283156,0.05471668818698738,1.0,False
reversal_1m|p0.2|n20|a100000000|c1.5,reversal_1m,0.2,20,100000000.0,1.5,310,-0.22632979708875922,-0.9985987587524106,-1.9315774880731953,0.05341167665300972,1.0,False
reversal_1m|p0.2|n20|a100000000|c2.0,reversal_1m,0.2,20,100000000.0,2.0,310,-0.22703435789946502,-0.9986288387142628,-1.9420360232389373,0.05213273949336683,1.0,False
reversal_1m|p0.2|n20|a1000000000|c0.5,reversal_1m,0.2,20,1000000000.0,0.5,310,-0.22644417130582106,-0.9986036843697271,-1.9332746614780438,0.053202371520489455,1.0,False
reversal_1m|p0.2|n20|a1000000000|c1.0,reversal_1m,0.2,20,1000000000.0,1.0,310,-0.2286698912833358,-0.9986962985375877,-1.9663482149994498,0.049258400903353206,1.0,False
reversal_1m|p0.2|n20|a1000000000|c1.5,reversal_1m,0.2,20,1000000000.0,1.5,310,-0.23088977797418309,-0.9987827910210242,-1.9994236918792545,0.04556253063574367,1.0,False
reversal_1m|p0.2|n20|a1000000000|c2.0,reversal_1m,0.2,20,1000000000.0,2.0,310,-0.23310384518844418,-0.9988635650556292,-2.032501070374497,0.04210295553038401,1.0,False
reversal_1m|p0.2|n20|a10000000000|c0.5,reversal_1m,0.2,20,10000000000.0,0.5,310,-0.22507262302631414,-0.9985484151643967,-2.131626686937573,0.03303754807225312,0.9398439042932857,False
reversal_1m|p0.2|n20|a10000000000|c1.0,reversal_1m,0.2,20,10000000000.0,1.0,310,-0.23099380863067775,-0.9987946389473193,-2.2245772095483303,0.026109634001942217,0.9398439042932857,False
reversal_1m|p0.2|n20|a10000000000|c1.5,reversal_1m,0.2,20,10000000000.0,1.5,310,-0.23687364375862985,-0.9990000042545654,-2.3175333314561852,0.020474697132702335,0.9398439042932857,False
reversal_1m|p0.2|n20|a10000000000|c2.0,reversal_1m,0.2,20,10000000000.0,2.0,310,-0.24271239013465717,-0.9991704825781187,-2.410494818511961,0.015930897610135553,0.9398439042932857,False
reversal_1m|p0.2|n30|a100000000|c0.5,reversal_1m,0.2,30,100000000.0,0.5,310,-0.16755464343439241,-0.9924885406745202,-1.233636140160223,0.21733851976981589,0.9999999999999998,False
reversal_1m|p0.2|n30|a100000000|c1.0,reversal_1m,0.2,30,100000000.0,1.0,310,-0.16818791780921627,-0.9926222714200172,-1.2427933286187403,0.213944001555042,0.9999999999999998,False
