date,ticker,suspension_status
1999-12-28,017040,거래정지
1999-12-28,000110,거래정지
1999-12-28,002860,거래정지
1999-12-28,008920,거래정지
1999-12-28,012260,거래정지
2000-01-31,000110,거래정지
2000-01-31,001920,거래정지
2000-01-31,002860,거래정지
2000-01-31,004420,거래정지
2000-01-31,005790,거래정지
2000-01-31,006300,거래정지
2000-01-31,010460,거래정지
2000-01-31,011840,거래정지
2000-01-31,012260,거래정지
2000-01-31,016390,거래정지
2000-01-31,030970,거래정지
2000-02-29,003620,거래정지
2000-02-29,032790,거래정지
2000-02-29,021880,거래정지
2000-02-29,000110,거래정지
2000-02-29,002860,거래정지
2000-02-29,006300,거래정지
2000-03-31,028300,거래정지
2000-03-31,004490,거래정지
2000-03-31,005420,거래정지
2000-03-31,006380,거래정지
2000-03-31,036200,거래정지
2000-03-31,023760,거래정지
2000-03-31,011690,거래정지
2000-03-31,024840,거래정지
2000-03-31,007110,거래정지
2000-03-31,013360,거래정지
2000-03-31,027830,거래정지
2000-03-31,009730,거래정지
2000-03-31,000110,거래정지
2000-03-31,000900,거래정지
2000-03-31,002860,거래정지
2000-03-31,003110,거래정지
2000-03-31,004190,거래정지
2000-03-31,006300,거래정지
2000-03-31,007090,거래정지
2000-03-31,009010,거래정지
2000-03-31,010110,거래정지
2000-03-31,013320,거래정지
2000-03-31,014090,거래정지
2000-03-31,015060,거래정지
2000-03-31,017050,거래정지
2000-03-31,017620,거래정지
2000-03-31,023460,거래정지
2000-03-31,025150,거래정지
2000-03-31,026240,거래정지
2000-03-31,033880,거래정지
2000-03-31,035830,거래정지
2000-04-28,005290,거래정지
2000-04-28,036810,거래정지
2000-04-28,033640,거래정지
2000-04-28,033160,거래정지
2000-04-28,025900,거래정지
2000-04-28,025860,거래정지
2000-04-28,036170,거래정지
2000-04-28,002230,거래정지
2000-04-28,026150,거래정지
2000-04-28,024880,거래정지
2000-04-28,008700,거래정지
2000-04-28,023810,거래정지
2000-04-28,010040,거래정지
2000-04-28,024910,거래정지
2000-04-28,036120,거래정지
2000-04-28,012340,거래정지
2000-04-28,000110,거래정지
2000-04-28,000200,거래정지
2000-04-28,000840,거래정지
2000-04-28,001350,거래정지
2000-04-28,002860,거래정지
2000-04-28,002940,거래정지
2000-04-28,003980,거래정지
2000-04-28,004190,거래정지
2000-04-28,005060,거래정지
2000-04-28,006300,거래정지
2000-04-28,007090,거래정지
2000-04-28,007100,거래정지
2000-04-28,012250,거래정지
2000-04-28,016390,거래정지
2000-04-28,018550,거래정지
2000-04-28,020860,거래정지
2000-04-28,021740,거래정지
2000-04-28,023430,거래정지
2000-04-28,024810,거래정지
2000-04-28,024811,거래정지
2000-04-28,026240,거래정지
2000-04-28,032930,거래정지
2000-04-28,033040,거래정지
2000-04-28,033330,거래정지
2000-04-28,036270,거래정지
2000-04-28,036610,거래정지
2000-04-28,036900,거래정지
2000-04-28,037150,거래정지
2000-04-28,037700,거래정지
2000-04-28,038100,거래정지
2000-05-31,000680,거래정지
2000-05-31,018700,거래정지
2000-05-31,000110,거래정지
2000-05-31,000840,거래정지
2000-05-31,001350,거래정지
2000-05-31,002860,거래정지
2000-05-31,002940,거래정지
2000-05-31,005580,거래정지
2000-05-31,007090,거래정지
2000-05-31,009010,거래정지
2000-05-31,016390,거래정지
2000-05-31,026240,거래정지
2000-05-31,031800,거래정지
2000-06-30,000970,거래정지
2000-06-30,000110,거래정지
2000-06-30,002860,거래정지
2000-06-30,016390,거래정지
2000-06-30,021930,거래정지
2000-06-30,025080,거래정지
2000-06-30,033210,거래정지
2000-07-31,002230,거래정지
2000-07-31,001020,거래정지
2000-07-31,000110,거래정지
2000-07-31,002860,거래정지
2000-07-31,004530,거래정지
2000-07-31,005410,거래정지
2000-07-31,016390,거래정지
2000-08-31,010170,거래정지
2000-08-31,037350,거래정지
2000-08-31,000110,거래정지
2000-08-31,002860,거래정지
2000-08-31,005760,거래정지
2000-08-31,008990,거래정지
2000-08-31,011260,거래정지
2000-08-31,011650,거래정지
2000-08-31,024960,거래정지
2000-08-31,035910,거래정지
2000-09-29,001390,거래정지
2000-09-29,001380,거래정지
2000-09-29,002680,거래정지
2000-09-29,000110,거래정지
2000-09-29,002860,거래정지
2000-09-29,014010,거래정지
2000-09-29,024960,거래정지
2000-10-31,000720,거래정지
2000-10-31,000120,거래정지
2000-10-31,006040,거래정지
2000-10-31,002360,거래정지
2000-10-31,000110,거래정지
2000-10-31,000200,거래정지
2000-10-31,000280,거래정지
2000-10-31,002860,거래정지
2000-10-31,005450,거래정지
2000-10-31,008990,거래정지
2000-10-31,011260,거래정지
2000-10-31,012710,거래정지
2000-10-31,020070,거래정지
2000-10-31,021570,거래정지
2000-10-31,024960,거래정지
2000-11-30,000110,거래정지
2000-11-30,000200,거래정지
2000-11-30,002080,거래정지
2000-11-30,002860,거래정지
2000-11-30,005390,거래정지
2000-11-30,008080,거래정지
2000-11-30,008320,거래정지
2000-11-30,008990,거래정지
2000-11-30,009330,거래정지
2000-11-30,010670,거래정지
2000-11-30,011260,거래정지
2000-11-30,012710,거래정지
2000-11-30,022060,거래정지
2000-11-30,024960,거래정지
2000-12-26,006220,거래정지
2000-12-26,003520,거래정지
2000-12-26,004560,거래정지
2000-12-26,000030,거래정지
2000-12-26,000110,거래정지
2000-12-26,000200,거래정지
2000-12-26,001030,거래정지
2000-12-26,002860,거래정지
2000-12-26,003810,거래정지
2000-12-26,004320,거래정지
2000-12-26,004940,거래정지
2000-12-26,005770,거래정지
2000-12-26,006610,거래정지
2000-12-26,008990,거래정지
2000-12-26,011260,거래정지
2000-12-26,012710,거래정지
2000-12-26,021930,거래정지
2000-12-26,022870,거래정지
2000-12-26,024960,거래정지
2000-12-26,030700,거래정지
2000-12-26,032390,거래정지
2001-01-31,005070,거래정지
2001-01-31,006220,거래정지
2001-01-31,014280,거래정지
2001-01-31,004060,거래정지
2001-01-31,002360,거래정지
2001-01-31,000030,거래정지
2001-01-31,000110,거래정지
2001-01-31,000200,거래정지
2001-01-31,002860,거래정지
2001-01-31,003810,거래정지
2001-01-31,005770,거래정지
2001-01-31,006610,거래정지
2001-01-31,008990,거래정지
2001-01-31,011260,거래정지
2001-01-31,012710,거래정지
2001-01-31,018020,거래정지
2001-01-31,019260,거래정지
2001-01-31,022870,거래정지
2001-01-31,024960,거래정지
2001-02-28,006220,거래정지
2001-02-28,008260,거래정지
2001-02-28,011330,거래정지
2001-02-28,000030,거래정지
2001-02-28,000110,거래정지
2001-02-28,000280,거래정지
2001-02-28,001400,거래정지
2001-02-28,002860,거래정지
2001-02-28,003810,거래정지
2001-02-28,005770,거래정지
2001-02-28,006610,거래정지
2001-02-28,008000,거래정지
2001-02-28,008480,거래정지
2001-02-28,011290,거래정지
2001-02-28,012600,거래정지
2001-02-28,022870,거래정지
2001-03-30,003550,거래정지
2001-03-30,006220,거래정지
2001-03-30,014190,거래정지
2001-03-30,000030,거래정지
2001-03-30,000110,거래정지
2001-03-30,000280,거래정지
2001-03-30,001400,거래정지
2001-03-30,002860,거래정지
2001-03-30,005770,거래정지
2001-03-30,006610,거래정지
2001-03-30,015620,거래정지
2001-03-30,022870,거래정지
2001-03-30,030710,거래정지
2001-04-30,001680,거래정지
2001-04-30,006220,거래정지
2001-04-30,011690,거래정지
2001-04-30,004710,거래정지
2001-04-30,042420,거래정지
2001-04-30,005740,거래정지
2001-04-30,016600,거래정지
2001-04-30,019490,거래정지
2001-04-30,000030,거래정지
2001-04-30,000110,거래정지
2001-04-30,000200,거래정지
2001-04-30,000280,거래정지
2001-04-30,002740,거래정지
2001-04-30,002860,거래정지
2001-04-30,003810,거래정지
2001-04-30,005770,거래정지
2001-04-30,006610,거래정지
2001-04-30,007630,거래정지
2001-04-30,013780,거래정지
2001-04-30,018590,거래정지
2001-04-30,020490,거래정지
2001-04-30,021740,거래정지
2001-04-30,022870,거래정지
2001-04-30,025840,거래정지
2001-04-30,030700,거래정지
2001-04-30,030710,거래정지
2001-04-30,035400,거래정지
2001-04-30,035500,거래정지
2001-04-30,036900,거래정지
2001-04-30,047600,거래정지
2001-05-31,006220,거래정지
2001-05-31,010580,거래정지
2001-05-31,005740,거래정지
2001-05-31,012170,거래정지
2001-05-31,000030,거래정지
2001-05-31,000110,거래정지
2001-05-31,001580,거래정지
2001-05-31,002860,거래정지
2001-05-31,005770,거래정지
2001-05-31,006610,거래정지
2001-05-31,012720,거래정지
2001-05-31,013630,거래정지
2001-05-31,015670,거래정지
2001-05-31,017120,거래정지
2001-05-31,022870,거래정지
2001-05-31,030710,거래정지
2001-06-29,000720,거래정지
2001-06-29,003030,거래정지
2001-06-29,001200,거래정지
2001-06-29,006220,거래정지
2001-06-29,005740,거래정지
2001-06-29,000030,거래정지
2001-06-29,000110,거래정지
2001-06-29,001580,거래정지
2001-06-29,002860,거래정지
2001-06-29,005770,거래정지
2001-06-29,006610,거래정지
2001-06-29,007420,거래정지
2001-06-29,008080,거래정지
2001-06-29,015650,거래정지
2001-06-29,015670,거래정지
2001-06-29,015880,거래정지
2001-06-29,022870,거래정지
2001-06-29,030710,거래정지
2001-07-31,000120,거래정지
2001-07-31,025980,거래정지
2001-07-31,008970,거래정지
2001-07-31,005740,거래정지
2001-07-31,000030,거래정지
2001-07-31,000110,거래정지
2001-07-31,000310,거래정지
2001-07-31,002860,거래정지
2001-07-31,004530,거래정지
2001-07-31,005770,거래정지
2001-07-31,006610,거래정지
2001-07-31,007420,거래정지
2001-07-31,015880,거래정지
2001-08-31,005740,거래정지
2001-08-31,019660,거래정지
2001-08-31,000030,거래정지
2001-08-31,000110,거래정지
2001-08-31,002860,거래정지
2001-08-31,003320,거래정지
2001-08-31,004740,거래정지
2001-08-31,005770,거래정지
2001-08-31,006610,거래정지
2001-08-31,007420,거래정지
2001-08-31,015580,거래정지
2001-08-31,015880,거래정지
2001-08-31,023780,거래정지
2001-08-31,032600,거래정지
2001-09-28,008970,거래정지
2001-09-28,038110,거래정지
2001-09-28,005740,거래정지
2001-09-28,003060,거래정지
2001-09-28,009810,거래정지
2001-09-28,000030,거래정지
2001-09-28,000110,거래정지
2001-09-28,002860,거래정지
2001-09-28,005770,거래정지
2001-09-28,006610,거래정지
2001-09-28,009330,거래정지
2001-09-28,011720,거래정지
2001-09-28,011840,거래정지
2001-09-28,012260,거래정지
2001-09-28,015540,거래정지
2001-10-31,024060,거래정지
2001-10-31,005740,거래정지
2001-10-31,011320,거래정지
2001-10-31,025890,거래정지
2001-10-31,000030,거래정지
2001-10-31,000110,거래정지
2001-10-31,002860,거래정지
2001-10-31,005770,거래정지
2001-10-31,006610,거래정지
2001-10-31,016550,거래정지
2001-10-31,023130,거래정지
2001-10-31,027460,거래정지
2001-10-31,027560,거래정지
2001-11-30,010950,거래정지
2001-11-30,033920,거래정지
2001-11-30,001630,거래정지
2001-11-30,005740,거래정지
2001-11-30,036630,거래정지
2001-11-30,017040,거래정지
2001-11-30,000030,거래정지
2001-11-30,000110,거래정지
2001-11-30,001370,거래정지
2001-11-30,002860,거래정지
2001-11-30,003560,거래정지
2001-11-30,003930,거래정지
2001-11-30,004190,거래정지
2001-11-30,005770,거래정지
2001-11-30,006210,거래정지
2001-11-30,006610,거래정지
2001-11-30,007410,거래정지
2001-11-30,008030,거래정지
2001-11-30,008400,거래정지
2001-11-30,008980,거래정지
2001-11-30,011450,거래정지
2001-11-30,012270,거래정지
2001-11-30,015670,거래정지
2001-11-30,037280,거래정지
2001-12-28,000400,거래정지
2001-12-28,025620,거래정지
2001-12-28,005740,거래정지
