key,signal,universe_pct,holdings,aum_krw,cost_multiplier,months,net_cagr,mdd,t_stat,p_value,mean_fill,robust,reality_check_p
small_cap|p0.9|n50|a100000000|c0.5,small_cap,0.9000000000000001,50,100000000.0,0.5,310,0.3861671154801827,-0.4914294487506216,5.9176677826055,3.2653868498044854e-09,0.9763837309877113,True,0.000999000999000999
small_cap|p0.9|n50|a100000000|c1.0,small_cap,0.9000000000000001,50,100000000.0,1.0,310,0.3795644644115232,-0.4977835759999544,5.842164777641044,5.152680060405146e-09,0.9763837309877113,True,0.000999000999000999
small_cap|p0.9|n50|a100000000|c1.5,small_cap,0.9000000000000001,50,100000000.0,1.5,310,0.3729905244008646,-0.5040614896804343,5.766659853320381,8.085801361801261e-09,0.9763837309877113,True,0.000999000999000999
small_cap|p0.9|n50|a100000000|c2.0,small_cap,0.9000000000000001,50,100000000.0,2.0,310,0.3664451824231103,-0.5102640658391013,5.691153176243846,1.2618424527488514e-08,0.9763837309877113,True,0.000999000999000999
small_cap|p0.8|n50|a100000000|c0.5,small_cap,0.8000000000000003,50,100000000.0,0.5,310,0.3414499448758135,-0.5098098590994309,5.113165791191404,3.168040150214324e-07,0.9971122100373272,True,0.000999000999000999
small_cap|p0.8|n50|a100000000|c1.0,small_cap,0.8000000000000003,50,100000000.0,1.0,310,0.3366271357224506,-0.5106167078658981,5.060947848976464,4.171773224648234e-07,0.9971122100373272,True,0.000999000999000999
small_cap|p0.8|n50|a100000000|c1.5,small_cap,0.8000000000000003,50,100000000.0,1.5,310,0.3318201247612478,-0.5114226800946313,5.008727145988841,5.479118456719334e-07,0.9971122100373272,True,0.000999000999000999
small_cap|p0.8|n50|a100000000|c2.0,small_cap,0.8000000000000003,50,100000000.0,2.0,310,0.327028865224978,-0.5122277762578157,4.956503758408841,7.177297964844342e-07,0.9971122100373272,True,0.000999000999000999
small_cap|p0.8|n50|a1000000000|c0.5,small_cap,0.8000000000000003,50,1000000000.0,0.5,310,0.2655835372631028,-0.4953950744078089,4.862528876998935,1.1589546473622647e-06,0.8264128670055837,True,0.000999000999000999
small_cap|p0.8|n50|a1000000000|c1.0,small_cap,0.8000000000000003,50,1000000000.0,1.0,310,0.257351603406992,-0.505119593088255,4.747037908498049,2.0641727611625527e-06,0.8264128670055837,True,0.000999000999000999
small_cap|p0.8|n50|a1000000000|c1.5,small_cap,0.8000000000000003,50,1000000000.0,1.5,310,0.249168596717779,-0.5147351310705298,4.6315408639283655,3.6295434115984895e-06,0.8264128670055837,True,0.000999000999000999
small_cap|p0.8|n50|a1000000000|c2.0,small_cap,0.8000000000000003,50,1000000000.0,2.0,310,0.2410342536810858,-0.5262893352087816,4.516038272486676,6.300728166763747e-06,0.8264128670055837,True,0.001998001998001998
