date,decision_date,delay_months,net_return,fill,terminal_unpriced_holdings
1999-12-28,1999-12-28,0,0.05029475028906303,0.7143260579999999,1
2000-01-31,2000-01-31,0,0.07289068387608726,0.6263670377619047,0
2000-02-29,2000-02-29,0,0.39507601940653514,0.7418012181666667,0
2000-03-31,2000-03-31,0,-0.01169987962462861,0.928706388904762,0
2000-04-28,2000-04-28,0,-0.1463131875497654,0.9449171303571429,0
2000-05-31,2000-05-31,0,-0.03238995806472,0.954813673047619,14
2000-06-30,2000-06-30,0,0.18214143233210314,0.9018289354761906,2
2000-07-31,2000-07-31,0,0.6024624552137279,0.9407584064285713,0
2000-08-31,2000-08-31,0,-0.05763879685770679,0.9926476842857144,1
2000-09-29,2000-09-29,0,-0.2334115126038984,0.9982090583333333,0
2000-10-31,2000-10-31,0,0.20059333665997717,0.9838634011904761,1
2000-11-30,2000-11-30,0,-0.07905184358223694,0.9759301235714286,1
2000-12-26,2000-12-26,0,0.2804971190362898,0.9462591882857142,4
2001-01-31,2001-01-31,0,0.18604491233731335,0.9816900690476191,0
2001-02-28,2001-02-28,0,-0.043704981786715655,0.9991086071428572,1
2001-03-30,2001-03-30,0,0.02276793335277191,0.9986361780952381,2
2001-04-30,2001-04-30,0,0.21059334699817808,0.960544505952381,2
2001-05-31,2001-05-31,0,0.07097893180441078,0.9900759871428572,1
2001-06-29,2001-06-29,0,0.0254032891837915,0.9843353285714287,1
2001-07-31,2001-07-31,0,0.12347079334538665,0.920376111904762,1
2001-08-31,2001-08-31,0,-0.23364721152411252,0.8927312961904761,0
2001-09-28,2001-09-28,0,0.2774830415018726,0.8783725582619049,1
2001-10-31,2001-10-31,0,0.07529547124064676,0.9358355785714286,1
2001-11-30,2001-11-30,0,-0.07810907967756232,0.9836326038095239,1
2001-12-28,2001-12-28,0,0.09631789915237776,0.99133155,0
2002-01-31,2002-01-31,0,-0.16188348299085925,0.9726850418571429,0
2002-02-28,2002-02-28,0,-0.014052657660535737,0.9881802765952381,1
2002-03-29,2002-03-29,0,0.05601630996755354,0.9977958802380952,12
2002-04-30,2002-04-30,0,0.15104818322964386,0.9880440732619047,1
2002-05-31,2002-05-31,0,-0.1012309977980698,0.9601871682380954,1
2002-06-28,2002-06-28,0,0.07295050432959357,0.911533312452381,1
2002-07-31,2002-07-31,0,0.030909783449334816,0.8529846267857143,1
2002-08-30,2002-08-30,0,-0.15083287977006563,0.8719471829285714,0
2002-09-30,2002-09-30,0,0.1322398943984996,0.9493496569523808,4
2002-10-31,2002-10-31,0,0.04217838759923534,0.9136250489523811,4
2002-11-29,2002-11-29,0,-0.08360770466584866,0.9194852049761905,2
2002-12-30,2002-12-30,0,0.07089684995542125,0.9520771294285715,0
2003-01-30,2003-01-30,0,0.046682504761291294,0.9076152877380952,0
2003-02-28,2003-02-28,0,-0.15600228583127196,0.841596569904762,1
2003-03-31,2003-03-31,0,0.16564247698782095,0.9051890389047618,7
2003-04-30,2003-04-30,0,0.05267741840829734,0.8413500775238095,1
2003-05-30,2003-05-30,0,0.1111218711438055,0.9012510623095238,1
2003-06-30,2003-06-30,0,0.06867836902838814,0.9617676096190476,0
2003-07-31,2003-07-31,0,-0.11929222311001046,0.9342948119047619,0
2003-08-29,2003-08-29,0,0.025861681400864315,0.9080896762142858,1
2003-09-30,2003-09-30,0,-0.0024752822893778226,0.8280043942619048,3
